time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.012126972885,0.00883002665711,10.0183100322,0.862532931572,0.874480917558,0.0,-0.678920122809,0.439606560658,0.378812900879,10.8098402022,10.813131081,0.0,-0.00290686135227,899.789310623,-0.250715072877,899.648534793
0.12000000000000001,-0.065544261046,0.0470835343113,10.0492223741,1.17207820308,1.20015611565,0.0,-0.576165452296,0.819470955392,0.607844499227,19.2619292229,19.2707251499,0.0,-0.189319874203,899.772322497,-0.104283284563,899.464050702
0.18,-0.111808258998,0.107841951147,10.0847716567,0.557042443391,0.60993626568,0.0,-0.441443884919,0.927826133776,0.694071258798,24.3261126094,24.3485875874,0.0,-0.110543218595,899.925030072,-0.145465004861,899.039318018
0.23999999999999996,-0.169586207784,0.170225582159,10.1287609593,3.18786757489,3.2375977009,0.0,-1.49012883001,0.846847829665,0.75087168129,26.8557712004,26.8731415405,0.0,0.240724156963,899.776992065,-0.0664697306194,899.419610299
0.3,-0.241845544599,0.229995117484,10.1886822534,5.05361642648,5.10042109085,0.0,-0.632927532976,1.19358602298,0.940329840673,27.9953235783,28.0032382426,0.0,0.452949977547,899.708554318,0.159034102316,899.6878974
0.36000000000000004,-0.248952448611,0.285298870125,10.2449344392,0.503982348698,0.550125762097,0.0,0.103919487047,0.742648572817,1.21732519338,28.4851314857,28.4872119546,0.0,0.219209552702,899.834586828,0.247166177102,899.899887733
0.4200000000000001,-0.27340328747,0.34476024399,10.3214671011,2.22479720046,2.27127938789,0.0,-1.07129462793,1.06514353045,1.09617468769,28.6839818732,28.6883296412,0.0,0.0509840359353,899.803972742,0.126042377261,899.619860851
0.48000000000000015,-0.359130683209,0.39266684163,10.3968301538,3.94893355421,3.995720573,0.0,-1.44840483373,0.768867985222,1.59083998534,28.7651097538,28.7702914908,0.0,-0.160963108216,899.747525447,0.259932896252,899.568186899
0.5400000000000001,-0.408780117047,0.450383913463,10.4867217568,5.67591297036,5.72274648076,0.0,-0.15819540163,0.875195305648,1.30980130064,28.8006760268,28.7983252978,0.0,0.0268329467745,899.4474291,0.446157185969,899.684411922
0.6000000000000002,-0.40828198864,0.492722201317,10.582504626,1.12096161553,1.16793666442,0.0,-0.17794322049,0.832141060663,1.88687589946,28.8083349905,28.8159494825,0.0,0.110836046028,899.770821014,0.533061588973,899.316845896
0.6600000000000003,-0.459238925405,0.546156881611,10.6847348067,2.84948699844,2.89704532037,0.0,-1.45919083765,0.667640591995,1.60860818531,28.8093846991,28.8220234694,0.0,-0.00442946167203,899.70953861,0.0591503535276,899.206015068
0.7200000000000003,-0.543972768744,0.585586463998,10.8012082236,4.57820272226,4.62646597266,0.0,-1.03067664069,0.887026271048,2.10285593114,28.8154955832,28.8260554672,0.0,0.000405973817684,899.791034722,0.160226532535,899.506647493
0.7800000000000004,-0.566396338967,0.632368261316,10.9164131191,0.0240173490682,0.0728844403772,0.0,0.116683526244,0.495663181909,1.97591122129,28.8183714976,28.8277269254,0.0,0.182481713207,899.791969723,0.109986893038,899.526146034
0.8400000000000004,-0.574528623419,0.670697999181,11.0515478384,1.75312499947,1.80247862784,0.0,-0.669428532504,0.874523435324,2.25057465019,28.8185953938,28.824757441,0.0,0.00812747342967,899.598563583,0.172942078079,899.47555085
0.9000000000000005,-0.649280644308,0.709004449306,11.1819399275,3.48225664033,3.53190841666,0.0,-1.56595111114,0.401896520559,2.38772987289,28.8192580723,28.8223875975,0.0,-0.0883575521135,899.537609426,0.654598474055,899.505760648
0.9600000000000005,-0.716999127196,0.747267994578,11.3335449254,5.2114343857,5.26126236899,0.0,-0.491979453225,0.782767155811,2.38389467837,28.8201830757,28.8228336205,0.0,-0.0426006270749,899.612653638,0.409209541709,899.5403258
1.0200000000000005,-0.720142641428,0.777137224307,11.4811512181,0.65749174577,0.707516742142,0.0,0.0685692987074,0.38817673098,2.77351242591,28.8214958374,28.8256878932,0.0,-0.110333220384,899.754010684,0.218721045446,899.589715219
1.0800000000000005,-0.750442657125,0.814097675154,11.6462404839,2.38695805834,2.43692154142,0.0,-1.17910618234,0.605513966475,2.55993738559,28.8285186138,28.8197154669,0.0,-0.251715351327,899.376011798,0.323202859594,899.93279706
1.1400000000000006,-0.8365470213,0.837063321708,11.8137221113,4.11684814664,4.16610347254,0.0,-1.34076757587,0.43976815849,3.10977949698,28.8356323606,28.819673748,0.0,-0.466947114865,899.50356186,0.403081066419,900.156734508
1.2000000000000006,-0.877556875037,0.871068295713,11.990884201,5.84713252916,5.89516978531,0.0,-0.0380488925461,0.396240289812,2.79942634715,28.841503939,28.8147186437,0.0,-0.318865671649,899.242130278,0.568166510206,900.313007441
1.2600000000000007,-0.876785774964,0.889614316489,12.1780117276,1.29451331667,1.34103834152,0.0,-0.28164281105,0.500045852427,3.34401182322,28.8446061215,28.8215208393,0.0,-0.255682474109,899.709699255,0.767495815055,900.349772344
1.3200000000000007,-0.934001333508,0.91772615413,12.3672702301,3.02528982598,3.07017915995,0.0,-1.50322983368,0.204854463566,3.139703631,28.8486729989,28.8149045473,0.0,-0.110369955521,899.211805554,0.915766488635,900.49759635
1.3800000000000008,-1.0144410725,0.934873894587,12.5740546472,4.75634712683,4.79909310167,0.0,-0.868468866011,0.534870176129,3.51251276501,28.8541767328,28.8157225046,0.0,-0.114980159343,899.398792969,0.770947559665,900.70047617
